Transaction_ID,Transaction_Date,Sender_ID,Receiver_ID,Sender_Bank,Receiver_Bank,City,Device_Type,Transaction_Type,Amount_INR,Transaction_Status,Account_Age_Days,Transactions_Last_24H,Avg_Transaction_Amount_7D,Failed_Transactions_24H,IP_Risk_Score,Device_Risk_Score,Location_Change_KM,Fraud_Reason,Fraud_Label,Is_Fraud
UPI1000000,01-01-25 0:00,CUST25795,MER1304,Kotak,ICICI,Hyderabad,Android,UPI ID,391.82,Success,184,4,341.75,0,17.27,97.32,0.17,Normal Activity,Legitimate,0
UPI1000001,01-01-25 0:10,CUST10860,MER6138,Canara Bank,Bank of Baroda,Pune,Web,QR Code,137.03,Success,2770,2,98.11,0,27.67,11.15,10,Normal Activity,Legitimate,0
UPI1000002,01-01-25 0:20,CUST86820,MER4454,ICICI,SBI,Hyderabad,iOS,QR Code,544.46,Success,1323,6,618.52,1,30.78,22.84,2.99,Normal Activity,Legitimate,0
UPI1000003,01-01-25 0:30,CUST64886,MER7082,Bank of Baroda,SBI,Chennai,Android,QR Code,292.36,Failed,1507,10,180.76,0,98.58,32.13,0.78,Normal Activity,Legitimate,0
UPI1000004,01-01-25 0:40,CUST16265,MER6349,PNB,Bank of Baroda,Ahmedabad,Android,QR Code,471.73,Success,1613,0,262.58,0,9.12,86.92,1.59,Normal Activity,Legitimate,0
UPI1000005,01-01-25 0:50,CUST92386,MER1850,Axis,PNB,Kolkata,Android,UPI ID,126.76,Failed,597,3,683.83,0,16.01,52.24,2.04,Normal Activity,Fraud,1
UPI1000006,01-01-25 1:00,CUST47194,MER6727,ICICI,ICICI,Mumbai,iOS,UPI ID,441.88,Success,1639,0,143.48,0,47.52,83.39,6.38,Normal Activity,Legitimate,0
UPI1000007,01-01-25 1:10,CUST97498,MER9686,Canara Bank,SBI,Hyderabad,iOS,UPI ID,229.81,Success,1222,7,275.86,0,41.87,9.98,4.41,Normal Activity,Legitimate,0
UPI1000008,01-01-25 1:20,CUST54131,MER4555,ICICI,SBI,Ahmedabad,Android,QR Code,271.22,Success,306,4,285.28,0,6.41,62.67,17.51,Normal Activity,Legitimate,0
UPI1000009,01-01-25 1:30,CUST70263,MER3674,SBI,SBI,Kolkata,iOS,Collect Request,359.78,Success,1512,6,177.01,0,5.41,51.76,2.32,Normal Activity,Legitimate,0
UPI1000010,01-01-25 1:40,CUST26023,MER4430,Kotak,ICICI,Pune,Android,QR Code,389.37,Success,521,2,473.78,1,61.19,96.2,2.19,Normal Activity,Legitimate,0
UPI1000011,01-01-25 1:50,CUST51090,MER8540,Bank of Baroda,SBI,Hyderabad,Android,QR Code,451.94,Success,2029,0,304.19,0,38.19,57.92,4.31,Normal Activity,Legitimate,0
UPI1000012,01-01-25 2:00,CUST77221,MER4149,Bank of Baroda,ICICI,Bengaluru,Android,UPI ID,2802.73,Pending,1651,8,441,0,41.1,81.94,5.09,Normal Activity,Legitimate,0
UPI1000013,01-01-25 2:10,CUST74820,MER4347,Canara Bank,Kotak,Hyderabad,iOS,UPI ID,332.11,Success,660,4,1267.28,1,20.16,20.59,10.21,Normal Activity,Legitimate,0
UPI1000014,01-01-25 2:20,CUST10769,MER4949,Axis,Canara Bank,Bengaluru,Android,QR Code,340.58,Failed,2088,4,462.04,1,99.73,84.38,21.7,Normal Activity,Legitimate,0
UPI1000015,01-01-25 2:30,CUST69735,MER1504,Bank of Baroda,PNB,Mumbai,Android,Mobile Number,975.24,Success,821,5,343.64,0,20.11,3.08,1.99,Normal Activity,Legitimate,0
UPI1000016,01-01-25 2:40,CUST72955,MER8765,Bank of Baroda,Bank of Baroda,Delhi,Android,QR Code,1159.44,Success,291,5,290.21,1,33.99,73.92,3.59,Normal Activity,Legitimate,0
UPI1000017,01-01-25 2:50,CUST74925,MER3654,Canara Bank,PNB,Hyderabad,iOS,QR Code,1101.77,Success,2710,2,409.53,0,61.83,7.53,3.63,Normal Activity,Legitimate,0
UPI1000018,01-01-25 3:00,CUST77969,MER4406,ICICI,Kotak,Kolkata,iOS,QR Code,1290.58,Success,2239,6,548.2,0,82.36,51.62,0.89,Normal Activity,Fraud,1
UPI1000019,01-01-25 3:10,CUST15311,MER4517,SBI,Canara Bank,Kolkata,iOS,QR Code,134.71,Success,1287,1,382.99,1,91.1,97.98,1.76,Normal Activity,Legitimate,0
UPI1000020,01-01-25 3:20,CUST93104,MER6412,Axis,SBI,Jaipur,iOS,QR Code,141.19,Success,539,2,216.17,1,90.69,95.78,3.54,High IP & Device Risk,Fraud,1
UPI1000021,01-01-25 3:30,CUST63707,MER6257,SBI,Canara Bank,Bengaluru,iOS,Collect Request,180.79,Success,2301,3,815.83,2,80.7,17.76,6.79,Normal Activity,Fraud,1
UPI1000022,01-01-25 3:40,CUST95305,MER2579,Axis,Axis,Mumbai,iOS,UPI ID,655.79,Success,2311,4,144.33,0,63.08,70.87,0.79,Normal Activity,Legitimate,0
UPI1000023,01-01-25 3:50,CUST38693,MER1313,ICICI,Kotak,Kolkata,Android,UPI ID,1707.43,Reversed,484,1,98.17,1,25.96,23.14,19.34,Normal Activity,Legitimate,0
UPI1000024,01-01-25 4:00,CUST81932,MER5315,HDFC,Canara Bank,Mumbai,iOS,QR Code,845.76,Success,2589,5,640.99,0,10.25,81.15,6.74,Normal Activity,Legitimate,0
UPI1000025,01-01-25 4:10,CUST35658,MER3687,Canara Bank,ICICI,Jaipur,Android,QR Code,194.84,Success,220,4,1432.43,1,78.76,26.59,5.4,Normal Activity,Legitimate,0
UPI1000026,01-01-25 4:20,CUST94478,MER8310,Canara Bank,Bank of Baroda,Ahmedabad,Android,QR Code,1136.02,Success,1404,4,252.02,0,73.69,17.44,0.51,Normal Activity,Legitimate,0
UPI1000027,01-01-25 4:30,CUST28431,MER6523,PNB,PNB,Mumbai,Android,UPI ID,243.11,Success,2533,6,581.01,0,60.09,15.73,1.71,Normal Activity,Legitimate,0
UPI1000028,01-01-25 4:40,CUST12747,MER5499,PNB,Canara Bank,Mumbai,Android,QR Code,152.96,Success,223,5,462.11,0,96.1,29.75,0.33,Normal Activity,Legitimate,0
UPI1000029,01-01-25 4:50,CUST69150,MER5574,Kotak,Kotak,Ahmedabad,iOS,UPI ID,167.43,Success,2220,4,188.01,0,56.11,99.48,0.07,Normal Activity,Legitimate,0
UPI1000030,01-01-25 5:00,CUST75725,MER7865,Bank of Baroda,Canara Bank,Delhi,iOS,QR Code,517.64,Success,1708,5,274.16,2,88.16,10.66,8.01,Normal Activity,Legitimate,0
UPI1000031,01-01-25 5:10,CUST94654,MER8727,PNB,PNB,Delhi,Android,Collect Request,441.6,Success,2878,2,821.91,1,11.55,82.4,18.07,Normal Activity,Legitimate,0
